id	name	phone	type
370	verbena	212/260 -5454	american
371	` victor \ 's cafe '	212/586 -7714	` latin american '
372	` vince & eddie \ 's '	212/721 -0068	american
373	vong	212/486 -9592	american
374	` water club '	212/683 -3333	american
375	west	212/246 -6363	american
376	xunta	212/614 -0620	mediterranean
377	` zen palate '	212/614 -9291	` and 212/614 -9345 asian '
378	zoe	212/966 -6722	american
379	abbey	404/876 -8532	international
380	` aleck \ 's barbecue heaven '	404/525 -2062	barbecue
381	` annie \ 's thai castle '	404/264 -9546	asian
382	anthonys	404/262 -7379	american
383	` atlanta fish market '	404/262 -3165	american
384	` beesley \ 's of buckhead '	404/264 -1334	continental
385	` bertolini \ 's '	404/233 -2333	italian
386	bistango	404/724 -0901	mediterranean
387	` cafe renaissance '	770/441 -- 0291	american
388	` camille \ 's '	404/872 -7203	italian
389	cassis	404/365 -8100	mediterranean
390	` city grill '	404/524 -2489	international
391	` coco loco '	404/364 -0212	caribbean
392	` colonnade restaurant '	404/874 -5642	southern
393	` dante \ 's down the hatch buckhead '	404/266 -1600	continental
394	` dante \ 's down the hatch '	404/577 -1800	continental
395	` fat matt \ 's rib shack '	404/607 -1622	barbecue
396	` french quarter food shop '	404/875 -2489	southern
397	` holt bros. bar-b-q '	770/242 -3984	barbecue
398	` horseradish grill '	404/255 -7277	southern
399	` hsu \ 's gourmet '	404/659 -2788	asian
400	` imperial fez '	404/351 -0870	mediterranean
401	kamogawa	404/841 -0314	asian
402	` la grotta at ravinia dunwoody rd. '	770/395 -9925	italian
403	` little szechuan '	770/451 -0192	asian
404	` lowcountry barbecue '	404/255 -5160	barbecue
405	` luna si '	404/355 -5993	continental
406	` mambo restaurante cubano '	404/874 -2626	caribbean
407	` mckinnon \ 's louisiane '	404/237 -1313	southern
408	` mi spia dunwoody rd. '	770/393 -1333	italian
409	` nickiemoto \ 's : a sushi bar '	404/842 -0334	fusion
410	palisades	404/350 -6755	continental
411	` pleasant peasant '	404/874 -3223	american
412	pricci	404/237 -2941	italian
413	` r.j. \ 's uptown kitchen & wine bar '	404/875 -7775	american
414	` rib ranch '	404/233 -7644	barbecue
415	` sa tsu ki '	404/325 -5285	asian
416	` sato sushi and thai '	770/449 -0033	asian
417	` south city kitchen '	404/873 -7358	southern
418	` south of france '	404/325 -6963	french
419	` stringer \ 's fish camp and oyster bar '	770/458 -7145	southern
420	` sundown cafe '	404/321 -1118	american
421	` taste of new orleans '	404/874 -5535	southern
422	tomtom	404/264 -1163	continental
423	` antonio \ 's '	702/252 -7737	italian
424	` bally \ 's big kitchen '	702/739 -4111	buffets
425	` bamboo garden '	702/871 -3262	asian
426	` battista \ 's hole in the wall '	702/732 -1424	italian
427	` bertolini \ 's '	702/735 -4663	italian
428	` binion \ 's coffee shop '	702/382 -1600	` coffee shops/diners '
429	bistro	702/791 -7111	continental
430	broiler	702/432 -7777	american
431	` bugsy \ 's diner '	702/733 -3111	` coffee shops/diners '
432	` cafe michelle '	702/735 -8686	american
433	` cafe roma '	702/731 -7547	` coffee shops/diners '
434	` capozzoli \ 's '	702/731 -5311	italian
435	` carnival world '	702/252 -7777	buffets
436	` center stage plaza hotel '	702/386 -2512	american
437	` circus circus '	702/734 -0410	buffets
438	'em press court '	702/731 -7888	asian
439	feast	702/367 -2411	buffets
440	` golden nugget hotel '	702/385 -7111	buffets
441	` golden steer '	702/384 -4470	` steak houses '
442	` lillie langtry \ 's '	702/385 -7111	asian
443	` mandarin court '	702/737 -1234	asian
444	` margarita \ 's mexican cantina '	702/794 -8200	mexican
445	` mary \ 's diner '	702/454 -8073	` coffee shops/diners '
446	mikado	702/791 -7111	asian
447	pamplemousse	702/733 -2066	continental
448	` ralph \ 's diner '	702/732 -6330	` coffee shops/diners '
449	` the bacchanal '	702/731 -7525	` only in las vegas '
450	venetian	702/876 -4190	italian
451	` viva mercado \ 's '	702/871 -8826	mexican
452	` yolie \ 's '	702/794 -0700	` steak houses '
453	2223	415/431 -0692	american
454	acquarello	415/567 -5432	italian
455	` bardelli \ 's '	415/982 -0243	` old san francisco '
456	betelnut	415/929 -8855	asian
457	` bistro roti '	415/495 -6500	french
458	bix	415/433 -6300	american
459	bizou	415/543 -2222	french
460	` buca giovanni '	415/776 -7766	italian
461	` cafe adriano '	415/474 -4180	italian
462	` cafe marimba '	415/776 -1506	` mexican/latin american/spanish '
463	` california culinary academy '	415/771 -3500	french
464	` capp \ 's corner '	415/989 -2589	italian
465	carta	415/863 -3516	american
466	chevys	415/543 -8060	` mexican/latin american/spanish '
467	` cypress club '	415/296 -8555	american
468	` des alpes '	415/788 -9900	french
469	faz	415/362 -0404	` greek and middle eastern '
470	` fog city diner '	415/982 -2000	american
471	` garden court '	415/546 -5011	` old san francisco '
472	` gaylord \ 's '	415/771 -8822	asian
473	` grand cafe hotel monaco '	415/292 -0101	american
474	greens	415/771 -6222	vegetarian
475	` harbor village '	415/781 -8833	asian
476	` harris \ ''	415/673 -1888	` steak houses '
477	` harry denton \ 's '	415/882 -1333	american
478	` hayes street grill '	415/863 -5545	seafood
479	helmand	415/362 -0641	` greek and middle eastern '
480	` hong kong flower lounge '	415/668 -8998	asian
481	` hong kong villa '	415/752 -8833	asian
482	` hyde street bistro '	415/441 -7778	italian
483	` il fornaio levi \ 's plaza '	415/986 -0100	italian
484	` izzy \ 's steak & chop house '	415/563 -0487	` steak houses '
485	` jack \ 's '	415/986 -9854	` old san francisco '
486	` kabuto sushi '	415/752 -5652	asian
487	` katia \ 's '	415/668 -9292	''
488	` kuleto \ 's '	415/397 -7720	italian
489	` kyo-ya . sheraton palace hotel '	415/546 -5000	asian
490	` l \ ` osteria del forno '	415/982 -1124	italian
491	` le central '	415/391 -2233	french
492	` le soleil '	415/668 -4848	asian
493	` macarthur park '	415/398 -5700	american
494	manora	415/861 -6224	asian
495	maykadeh	415/362 -8286	` greek and middle eastern '
496	` mccormick & kuleto \ 's '	415/929 -1730	seafood
497	millennium	415/487 -9800	vegetarian
498	` moose \ 's '	415/989 -7800	mediterranean
499	` north india '	415/931 -1556	asian
500	` one market '	415/777 -5577	american
501	oritalia	415/346 -1333	italian
502	` pacific pan pacific hotel '	415/929 -2087	french
503	` palio d \ ` asti '	415/395 -9800	italian
504	` pane e vino '	415/346 -2111	italian
505	pastis	415/391 -2555	french
506	` perry \ 's '	415/922 -9022	american
507	` r & g lounge '	415/982 -7877	` or 415/982 -3811 asian '
508	rubicon	415/434 -4100	american
509	rumpus	415/421 -2300	american
510	sanppo	415/346 -3486	asian
511	` scala \ 's bistro '	415/395 -8555	italian
512	` south park cafe '	415/495 -7275	french
513	` splendido embarcadero '	415/986 -3222	mediterranean
514	stars	415/861 -7827	american
515	` stars cafe '	415/861 -4344	american
516	` stoyanof \ 's cafe '	415/664 -3664	` greek and middle eastern '
517	` straits cafe '	415/668 -1783	asian
518	suppenkuche	415/252 -9289	russian/german
519	` tadich grill '	415/391 -2373	seafood
520	` the heights '	415/474 -8890	french
521	thepin	415/863 -9335	asian
522	` ton kiang '	415/752 -4440	asian
523	vertigo	415/433 -7250	mediterranean
524	` vivande porta via '	415/346 -4430	italian
525	` vivande ristorante '	415/673 -9245	italian
526	` world wrapps '	415/563 -9727	american
527	` wu kong '	415/957 -9300	asian
528	` yank sing '	415/541 -4949	asian
529	` yaya cuisine '	415/566 -6966	` greek and middle eastern '
530	` yoyo tsumami bistro '	415/922 -7788	french
531	zarzuela	415/346 -0800	` mexican/latin american/spanish '
532	` zuni cafe & grill '	415/552 -2522	mediterranean
533	` apple pan the '	310-475-3585	american
534	` asahi ramen '	310-479-2231	` noodle shops '
535	` baja fresh '	805-498-4049	mexican
536	` belvedere the '	310-788-2306	` pacific new wave '
537	` benita \ 's frites '	310-458-2889	` fast food '
538	` bernard \ 's '	213-612-1580	continental
539	` bistro 45 '	818-795-2478	californian
540	` brent \ 's deli '	818-886-5679	delis
541	` brighton coffee shop '	310-276-7732	` coffee shops '
542	` bristol farms market cafe '	310-643-5229	californian
543	` bruno \ 's '	310-397-5703	italian
544	` cafe \ '50s '	310-399-1955	american
545	` cafe blanc '	310-888-0108	` pacific new wave '
546	` cassell \ 's '	213-480-8668	hamburgers
547	` chez melange '	310-540-1222	eclectic
548	diaghilev	310-854-1111	russian
549	` don antonio \ 's '	310-209-1422	italian
550	` duke \ 's '	310-652-3100	` coffee shops '
551	` falafel king '	310-208-4444	` middle eastern '
552	` feast from the east '	310-475-0400	chinese
553	` gumbo pot the '	213-933-0358	cajun/creole
554	` hollywood hills coffee shop '	213-467-7678	` coffee shops '
555	` indo cafe '	310-815-1290	indonesian
556	` jan \ 's family restaurant '	213-651-2866	` coffee shops '
557	jiraffe	310-917-6671	californian
558	` jody maroni \ 's sausage kingdom '	310-306-1995	` hot dogs '
559	` joe \ 's '	310-399-5811	` american ( new ) '
560	` john o \ ` groats '	310-204-0692	` coffee shops '
561	` johnnie \ 's pastrami '	310-397-6654	delis
562	` johnny reb \ 's southern smokehouse '	310-423-7327	southern/soul
563	` johnny rockets ( la ) '	213-651-3361	american
564	` killer shrimp '	818-508-1570	seafood
565	` kokomo cafe '	213-933-0773	american
566	` koo koo roo '	213-655-9045	chicken
567	` la cachette '	310-470-4992	` french ( new ) '
568	` la salsa ( la ) '	310-456-6299	mexican
569	` la serenata de garibaldi '	213-265-2887	mexican/tex-mex
570	` langer \ 's '	213-483-8050	delis
571	` local nochol '	818-706-7706	` health food '
572	` main course the '	310-475-7564	american
573	` mani \ 's bakery & espresso bar '	213-938-8800	desserts
574	` martha \ 's '	310-376-7786	american
575	` maxwell \ 's cafe '	310-306-7829	american
576	` michael \ 's ( los angeles ) '	310-451-0843	californian
577	mishima	213-782-0181	` noodle shops '
578	` mo better meatty meat '	213-935-5280	hamburgers
579	` mulberry st. '	818-906-8881	pizza
580	` ocean park cafe '	310-452-5728	american
581	` ocean star '	818-308-2128	seafood
582	` original pantry bakery '	213-627-6879	diners
583	` parkway grill '	818-795-1001	californian
584	` pho hoa '	213-626-5530	vietnamese
585	` pink \ 's famous chili dogs '	213-931-4223	` hot dogs '
586	` poquito mas '	818-563-2252	mexican
587	r-23	213-687-7178	japanese
588	` rae \ 's '	310-828-7937	diners
589	` rubin \ 's red hots '	818-905-6515	` hot dogs '
590	` ruby \ 's ( la ) '	818-796-7829	diners
591	` russell \ 's burgers '	310-596-9556	hamburgers
592	` ruth \ 's chris steak house ( los angeles ) '	310-859-8744	steakhouses
593	shiro	818-799-4774	` pacific new wave '
594	` sushi nozawa '	818-508-7017	japanese
595	` sweet lady jane '	213-653-7145	desserts
596	taiko	310-207-7782	` noodle shops '
597	` tommy \ 's '	213-389-9060	hamburgers
598	` uncle bill \ 's pancake house '	310-545-5177	diners
599	` water grill '	213-891-0900	seafood
600	` zankou chicken '	818-244-1937	` middle eastern '
601	` afghan kebab house '	212-307-1612	afghan
602	arcadia	212-223-2900	` american ( new ) '
603	` benny \ 's burritos '	212-254-2054	mexican
604	` cafe con leche '	212-595-7000	cuban
605	` corner bistro '	212-242-9502	hamburgers
606	` cucina della fontana '	212-242-0636	italian
607	` cucina di pesce '	212-260-6800	seafood
608	darbar	212-432-7227	indian
609	` ej \ 's luncheonette '	212-473-5555	diners
610	` edison cafe '	212-840-5000	diners
611	` elias corner '	718-932-1510	greek
612	` good enough to eat '	212-496-0163	american
613	` gray \ 's papaya '	212-799-0243	` hot dogs '
614	` il mulino '	212-673-3783	italian
615	` jackson diner '	718-672-1232	indian
616	` joe \ 's shanghai '	718-539-3838	chinese
617	` john \ 's pizzeria '	212-721-7001	pizza
618	` kelley & ping '	212-228-1212	pan-asian
619	kiev	212-674-4040	ukrainian
620	` kuruma zushi '	212-317-2802	japanese
621	` la caridad '	212-874-2780	cuban
622	` la grenouille '	212-752-1495	` french ( classic ) '
